Year,Song Title,Artist,Secondary Artist,"Organization of Backbeat (2, 3)",Kick / Snare Rate (in BPM),"1st Level Subdivision (2, 3)","2nd Level Subdivision (0, 2, 3)",Tempo of Swung Layer
1984,The Sound Of Goodbye,Crystal Gayle,,2,104,2,2,
1984,Show Her,Ronnie Milsap,,2,69,2,2,
1984,That's The Way Love Goes,Merle Haggard,,2,99,2,2,
1984,Don't Cheat In Our Hometown,Ricky Skaggs,,2,125,3,0,125
1984,Stay Young,Don Williams,,2,89,2,3,178
1985,Lost In The Fifties Tonight (In The Still Of The Night),Ronnie Milsap,,2,57,3,2,57
1985,Does Fort Worth Ever Cross Your Mind,George Strait,,2,112,3,0,112
1985,The Best Year Of My Life,Eddie Rabbitt,,2,72,2,2,
1985,How Blue,Reba McEntire,,2,87,2,3,174
1985,(There's A) Fire In The Night,Alabama,,2,128,2,2,
1985,A Place To Fall Apart,Merle Haggard,,2,72,2,3,144
1985,Ain't She Somethin' Else,Conway Twitty,,2,91,2,2,
1985,Make My Life With You,The Oak Ridge Boys,,2,73,2,2,
1985,Baby's Got Her Blue Jeans On,Mel McDaniel,,2,107,2,2,
1985,Baby Bye Bye,Gary Morris,,2,123,2,2,
1986,Mind Your Own Business,Hank Williams Jr.,Reba McEntire,2,164,3,0,164
1986,Have Mercy,The Judds,,2,123,2,2,
1986,Morning Desire,Kenny Rogers,,2,84,2,2,
1986,Bop,Dan Seals,,2,124,2,2,
1986,Never Be You,Rosanne Cash,,2,112,2,2,
1986,Just In Case,The Forester Sisters,,2,208,3,0,208
1986,Hurt,Juice Newton,,2,58.5,3,2,58.5
1986,Makin' Up For Lost Time (The Dallas Lovers' Song),Crystal Gayle,Gary Morris,2,112,2,2,
1986,There's No Stopping Your Heart,Marie Osmond,,2,117,2,2,
1986,You Can Dream Of Me,Steve Wariner,,2,110,2,2,
1987,Forever And Ever Amen,Randy Travis,,2,180,2,2,
1987,Give Me Wings,Michael Johnson,,2,77,2,2,
1987,What Am I Gonna Do About You,Reba McEntire,,2,79,2,2,
1987,Cry Myself To Sleep,The Judds,,2,115,2,2,
1987,You Still Move Me,Dan Seals,,2,61,2,2,
1987,Leave Me Lonely,Gary Morris,,2,56.5,2,2,
1987,How Do I Turn You On,Ronnie Milsap,,2,90,2,2,
1987,Straight To The Heart,Crystal Gayle,,2,174,3,0,174
1987,I Can't Win For Losin' You,Earl Thomas Conley,,2,65,3,2,65
1987,Mornin' Ride,Lee Greenwood,,2,84,2,3,168
1988,Eighteen Wheels And A Dozen Roses,Kathy Mattea,,2,139,2,2,
1988,I Told You So,Randy Travis,,2,79,2,2,
1988,I'll Leave This World Loving You,Ricky Van Shelton,,2,87,2,2,
1988,When You Say Nothing At All,Keith Whitley,,2,80,2,2,
1988,Somewhere Tonight,Highway 101,,2,130,3,0,130
1988,I Can't Get Close Enough,Exile,,2,118,2,2,
1988,One Friend,Dan Seals,,2,63,2,2,
1988,Where Do The Nights Go,Ronnie Milsap,,2,73,2,2,
1988,Goin' Gone,Kathy Mattea,,2,130,2,2,
1988,Wheels,Restless Heart,,2,146,2,2,
1989,I'm No Stranger To The Rain,Keith Whitley,,2,88,2,2,
1989,The Church On Cumberland Road,Shenandoah,,2,150,2,2,
1989,Hold Me,K. T. Oslin,,2,88,2,2,
1989,Change Of Heart,The Judds,,2,54,3,3,162
1989,She's Crazy For Leavin',Rodney Crowell,,2,189,3,0,189
1989,Deeper Than The Holler,Randy Travis,,2,143,2,2,
1989,What I'd Say,Earl Thomas Conley,,2,59,2,2,
1989,Song Of The South,Alabama,,2,81,2,2,
1989,Big Wheels In The Moonlight,Dan Seals,,2,134,2,2,
1989,I Sang Dixie,Dwight Yoakam,,2,115,2,2,
1990,Love Without End Amen,George Strait,,2,88,2,2,
1990,Hard Rock Bottom Of Your Heart,Randy Travis,,2,164,2,2,
1990,Jukebox In My Mind,Alabama,,2,115,3,2,115
1990,Friends In Low Places,Garth Brooks,,2,109,2,2,
1990,I've Come To Expect It From You,George Strait,,2,153,2,2,
1990,Nobody's Home,Clint Black,,2,105,2,2,
1990,Love On Arrival,Dan Seals,,2,196,2,2,
1990,The Dance,Garth Brooks,,2,68,2,2,
1990,Next To You Next To Me,Shenandoah,,2,189,3,0,189
1990,On Second Thought,Eddie Rabbitt,,2,130,3,0,130
1991,Down Home,Alabama,,2,155,2,2,
1991,Don't Rock The Jukebox,Alan Jackson,,2,148,3,2,148
1991,You Know Me Better Than That,George Strait,,2,183,2,2,
1991,Unanswered Prayers,Garth Brooks,,2,74,2,2,
1991,Brother Jukebox,Mark Chesnutt,,2,141,2,2,
1991,Walk On Faith,Mike Reid,,2,154,2,2,
1991,I'd Love You All Over Again,Alan Jackson,,3,85,3,0,85
1991,Loving Blind,Clint Black,,2,81,2,2,
1991,If I Know Me,George Strait,,2,67,2,2,
1991,Meet In The Middle,Diamond Rio,,2,91,2,3,182
1992,Achy Breaky Heart,Billy Ray Cyrus,,2,122,2,2,
1992,What She's Doing Now,Garth Brooks,,2,82,2,2,
1992,Boot Scootin' Boogie,Brooks & Dunn,,2,130,3,0,130
1992,No One Else On Earth,Wynonna,,2,99,2,2,
1992,Love Me,Collin Raye,,2,53,2,2,
1992,There Ain't Nothin' Wrong With The Radio,Aaron Tippin,,2,131,2,2,
1992,I Saw The Light,Wynonna,,2,151,2,2,
1992,A Jukebox With A Country Song,Doug Stone,,2,112,3,0,112
1992,Is There Life Out There,Reba McEntire,,2,97,2,3,194
1992,Neon Moon,Brooks & Dunn,,2,102,2,3,204
1993,Chattahoochee,Alan Jackson,,2,175,2,2,
1993,What Part Of No,Lorrie Morgan,,2,130,2,2,
1993,I Love The Way You Love Me,John Michael Montgomery,,2,81,2,2,
1993,Don't Let Our Love Start Slippin' Away,Vince Gill,,2,113,2,2,
1993,Look Heart No Hands,Randy Travis,,2,100,2,2,
1993,Can I Trust You With My Heart,Travis Tritt,,2,71,2,2,
1993,When My Ship Comes In,Clint Black,,2,131,2,2,
1993,The Heart Won't Lie,Reba McEntire,Vince Gill,2,68,2,2,
1993,Alibis,Tracy Lawrence,,3,108,3,0,108
1993,Should've Been A Cowboy,Toby Keith,,2,133,2,2,
1994,Wild One,Faith Hill,,2,136,2,2,
1994,I Swear,John Michael Montgomery,,2,86,2,2,
1994,Wink,Neal McCoy,,2,118,2,2,
1994,Summertime Blues,Alan Jackson,,2,160,2,2,
1994,Livin' On Love,Alan Jackson,,2,119,2,2,
1994,Pickup Man,Joe Diffie,,2,140,3,2,140
1994,No Doubt About It,Neal McCoy,,2,72.5,2,2,
1994,My Love,Little Texas,,2,94,2,2,
1994,If The Good Die Young,Tracy Lawrence,,2,156,2,2,
1994,Don't Take The Girl,Tim McGraw,,2,52,2,2,
1995,"I Like It, I Love It",Tim McGraw,,2,124,2,2,
1995,Check Yes Or No,George Strait,,2,110,2,2,
1995,I Can Love You Like That,John Michael Montgomery,,2,44.5,2,2,
1995,Summer's Comin',Clint Black,,2,156,2,2,
1995,Sold (The Grundy County Auction Incident),John Michael Montgomery,,2,232,2,2,
1995,Not A Moment Too Soon,Tim McGraw,,2,60.5,2,2,
1995,Mi Vida Loca (My Crazy Life),Pam Tillis,,2,90,2,2,
1995,Old Enough To Know Better,Wade Hayes,,2,166,2,2,
1995,This Woman And This Man,Clay Walker,,2,74,2,2,
1995,Thinkin' About You,Trisha Yearwood,,2,92,2,2,
1996,It Matters To Me,Faith Hill,,2,68,2,2,
1996,No News,Lonestar,,2,116,2,2,
1996,My Maria,Brooks & Dunn,,2,126,2,2,
1996,Time Marches On,Tracy Lawrence,,2,118,2,2,
1996,Carried Away,George Strait,,2,68,2,2,
1996,Like The Rain,Clint Black,,2,80,2,2,
1996,Little Bitty,Alan Jackson,,2,163,2,2,
1996,(If You're Not In It For Love) I'm Outta Here,Shania Twain,,2,120,2,2,
1996,Bigger Than The Beatles,Joe Diffie,,2,120,2,2,
1996,You Can Feel Bad,Patty Loveless,,2,121,2,2,
1997,It's Your Love,Tim McGraw,Faith Hill,2,72,2,2,
1997,One Night At A Time,George Strait,,2,113,2,2,
1997,Love Gets Me Every Time,Shania Twain,,2,123,2,2,
1997,Nobody Knows,Kevin Sharp,,2,88,2,2,
1997,Carrying Your Love With Me,George Strait,,2,69,2,2,
1997,She's Got It All,Kenny Chesney,,2,132,2,2,
1997,How Your Love Makes Me Feel,Diamond Rio,,2,141,2,2,
1997,It's A Little Too Late,Mark Chesnutt,,2,173,2,2,
1997,We Danced Anyway,Deana Carter,,2,94,2,2,
1997,Rumor Has It,Clay Walker,,2,123,2,2,
1998,Just To See You Smile,Tim McGraw,,2,189,2,2,
1998,Where The Green Grass Grows,Tim McGraw,,2,80,2,2,
1998,Wide Open Spaces,Dixie Chicks,,2,90,2,3,180
1998,This Kiss,Faith Hill,,2,94,2,2,
1998,I Just Want To Dance With You,George Strait,,2,114,2,2,
1998,I'm Alright,Jo Dee Messina,,2,98,2,2,
1998,How Long Gone,Brooks & Dunn,,2,114,2,2,
1998,Round About Way,George Strait,,2,160,2,2,
1998,Nothin' But The Taillights,Clint Black,,2,155,2,2,
1998,Perfect Love,Trisha Yearwood,,2,130,2,2,
1999,Amazed,Lonestar,,2,70,2,2,
1999,How Forever Feels,Kenny Chesney,,2,125,2,2,
1999,Please Remember Me,Tim McGraw,,2,76,2,2,
1999,Something Like That,Tim McGraw,,2,86,2,3,172
1999,I Love You,Martina McBride,,2,107,2,2,
1999,Write This Down,George Strait,,2,124,2,2,
1999,Stand Beside Me,Jo Dee Messina,,2,100,2,2,
1999,You're Easy On The Eyes,Terri Clark,,2,126,2,2,
1999,I Don't Want To Miss A Thing,Mark Chesnutt,,2,61,2,2,
1999,You Were Mine,Dixie Chicks,,2,70,2,2,
2000,Breathe,Faith Hill,,2,68,2,2,
2000,How Do You Like Me Now?!,Toby Keith,,2,110,2,2,
2000,I Hope You Dance,Lee Ann Womack,Sons of the Desert,2,76,2,2,
2000,The Way You Love Me,Faith Hill,,2,102,2,2,
2000,What About Now,Lonestar,,2,126,2,2,
2000,That's The Way,Jo Dee Messina,,2,96,2,2,
2000,Cowboy Take Me Away,Dixie Chicks,,2,82,2,2,
2000,The Best Day,George Strait,,2,66,2,2,
2000,Yes!,Chad Brock,,2,127,2,2,
2000,The Little Girl,John Michael Montgomery,,2,84,2,2,
2001,Ain't Nothing 'bout You,Brooks & Dunn,,2,100,2,2,
2001,I'm Already There,Lonestar,,2,67,2,2,
2001,Austin,Blake Shelton,,2,60,2,2,
2001,I Wanna Talk About Me,Toby Keith,,2,106,2,3,212
2001,You Shouldn't Kiss Me Like This,Toby Keith,,2,84,2,2,
2001,Who I Am,Jessica Andrews,,2,84,2,2,
2001,What I Really Meant To Say,Cyndi Thomson,,2,70,2,2,
2001,Where I Come From,Alan Jackson,,2,124,2,2,
2001,My Next Thirty Years,Tim McGraw,,2,99,2,2,
2001,Tell Her,Lonestar,,2,63,2,2,
2002,The Good Stuff,Kenny Chesney,,2,72,2,3,144
2002,Drive (For Daddy Gene),Alan Jackson,,2,125,2,2,
2002,Living And Living Well,George Strait,,2,121,2,2,
2002,Good Morning Beautiful,Steve Holy,,2,71,2,2,
2002,I Miss My Friend,Darryl Worley,,2,70,2,2,
2002,My List,Toby Keith,,2,87,2,2,
2002,I Don't Have To Be Me ('til Monday),Steve Azar,,2,85,2,2,
2002,Beautiful Mess,Diamond Rio,,2,88,2,3,177
2002,Blessed,Martina McBride,,2,115,2,2,
2002,The Impossible,Joe Nichols,,2,78,2,2,
2003,My Front Porch Looking In,Lonestar,,2,102,2,2,
2003,Beer For My Horses,Toby Keith,Willie Nelson,2,119,2,2,
2003,19 Somethin',Mark Wills,,2,90,2,2,
2003,It's Five O'Clock Somewhere,Alan Jackson,Jimmy Buffett,2,125,2,2,
2003,Red Dirt Road,Brooks & Dunn,,2,136,2,2,
2003,What Was I Thinkin',Dierks Bentley,,2,165,2,2,
2003,I Believe,Diamond Rio,,2,65,2,2,
2003,Brokenheartsville,Joe Nichols,,2,104,2,2,
2003,Real Good Man,Tim McGraw,,2,90,2,2,
2003,Celebrity,Brad Paisley,,2,124,2,2,
2004,Live Like You Were Dying,Tim McGraw,,2,80,2,2,
2004,Remember When,Alan Jackson,,2,63,2,2,
2004,You'll Think Of Me,Keith Urban,,2,83,2,2,
2004,When The Sun Goes Down,Kenny Chesney,Uncle Kracker,2,105,2,2,
2004,Letters From Home,John Michael Montgomery,,2,128,2,2,
2004,American Soldier,Toby Keith,,2,82,2,2,
2004,Mayberry,Rascal Flatts,,2,88,2,2,
2004,Suds In The Bucket,Sara Evans,,2,162,2,2,
2004,Watch The Wind Blow By,Tim McGraw,,2,63,2,3,126
2004,Days Go By,Keith Urban,,2,132,2,2,
2005,That's What I Love About Sunday,Craig Morgan,,2,70,2,2,
2005,As Good As I Once Was,Toby Keith,,2,119,2,2,
2005,Bless The Broken Road,Rascal Flatts,,2,68,2,2,
2005,Something More,Sugarland,,2,102,2,2,
2005,Fast Cars And Freedom,Rascal Flatts,,2,118,2,2,
2005,Nothin' To Lose,Josh Gracin,,2,121,2,2,
2005,Baby Girl,Sugarland,,2,82,2,2,
2005,Making Memories Of Us,Keith Urban,,2,104,2,2,
2005,Mississippi Girl,Faith Hill,,2,84,2,2,
2005,Gone,Montgomery Gentry,,2,119,2,2,
2006,If You're Going Through Hell (Before The Devil Even Knows),Rodney Atkins,,2,116,2,2,
2006,The World,Brad Paisley,,2,176,2,2,
2006,Summertime,Kenny Chesney,,2,84,2,2,
2006,What Hurts The Most,Rascal Flatts,,2,68,2,2,
2006,"Jesus, Take The Wheel",Carrie Underwood,,2,77,2,2,
2006,Would You Go With Me,Josh Turner,,2,246,2,2,
2006,Tonight I Wanna Cry,Keith Urban,,2,52,2,2,
2006,Leave The Pieces,The Wreckers,,2,82,2,2,
2006,Who Says You Can't Go Home,Bon Jovi,Jennifer Nettles,2,132,2,2,
2006,Why,Jason Aldean,,2,68,2,2,
2007,Watching You,Rodney Atkins,,2,138,2,2,
2007,Good Directions,Billy Currington,,2,122,3,0,122
2007,Never Wanted Nothing More,Kenny Chesney,,2,89,2,2,
2007,These Are My People,Rodney Atkins,,2,90,2,2,
2007,Take Me There,Rascal Flatts,,2,84,2,2,
2007,Lost In This Moment,Big & Rich,,2,74,2,2,
2007,Wasted,Carrie Underwood,,2,95,2,2,
2007,If You're Reading This,Tim McGraw,,2,72,2,2,
2007,Free And Easy (Down The Road I Go),Dierks Bentley,,2,121,2,2,
2007,Settlin',Sugarland,,2,121,2,2,
2008,Just Got Started Lovin' You,James Otto,,2,98,2,2,
2008,I Saw God Today,George Strait,,2,74,2,2,
2008,Small Town Southern Man,Alan Jackson,,2,133,2,2,
2008,Don't Think I Don't Think About It,Darius Rucker,,2,75,2,2,
2008,Home,Blake Shelton,,2,64,2,2,
2008,Love Is A Beautiful Thing,Phil Vassar,,2,81,2,2,
2008,You're Gonna Miss This,Trace Adkins,,2,77.5,2,2,
2008,I Still Miss You,Keith Anderson,,2,78,2,2,
2008,Cleaning This Gun (Come On In Boy),Rodney Atkins,,2,73,2,2,
2008,I'm Still A Guy,Brad Paisley,,3,55,3,3,164
2009,I Run To You,Lady Antebellum,,2,112,2,2,
2009,Whatever It Is,Zac Brown Band,,2,84,2,2,
2009,Boots On,Randy Houser,,2,112,2,2,
2009,It Won't Be Like This For Long,Darius Rucker,,2,72,2,2,
2009,River Of Love,George Strait,,2,79,2,2,
2009,Sideways,Dierks Bentley,,2,108,2,2,
2009,People Are Crazy,Billy Currington,,2,141,2,2,
2009,Alright,Darius Rucker,,2,90,2,3,180
2009,Sweet Thing,Keith Urban,,2,103,2,2,
2009,Big Green Tractor,Jason Aldean,,2,68,2,3,136
2010,Love Like Crazy,Lee Brice,,2,78,2,2,
2010,Rain Is A Good Thing,Luke Bryan,,2,108,2,2,
2010,Why Don't We Just Dance,Josh Turner,,2,122,3,0,122
2010,All Over Me,Josh Turner,,2,85,2,2,
2010,The Man I Want To Be,Chris Young,,2,71,2,2,
2010,Roll With It,Easton Corbin,,2,120,2,2,
2010,Gimmie That Girl,Joe Nichols,,2,81,2,2,
2010,All About Tonight,Blake Shelton,,2,118,2,2,
2010,Come Back Song,Darius Rucker,,2,89,2,2,
2010,She Won't Be Lonely Long,Clay Walker,,2,113,2,2,
2011,Crazy Girl,Eli Young Band,,2,51,3,2,
2011,Barefoot Blue Jean Night,Jake Owen,,2,86,2,2,
2011,Take A Back Road,Rodney Atkins,,2,85,2,2,
2011,Tomorrow,Chris Young,,2,71,2,2,
2011,You Lie,The Band Perry,,2,86,3,0,86
2011,Am I The Only One,Dierks Bentley,,2,83,2,2,
2011,You And Tequila,Kenny Chesney,Grace Potter,2,136,2,2,
2011,Honey Bee,Blake Shelton,,2,103,2,2,
2011,Just Fishin',Trace Adkins,,2,86,2,2,
2011,Let Me Down Easy,Billy Currington,,2,62,2,3,124
2012,Time Is Love,Josh Turner,,2,112,2,2,
2012,You Don't Know Her Like I Do,Brantley Gilbert,,2,75,2,2,
2012,Why Ya Wanna,Jana Kramer,,2,56,3,2,
2012,Cowboys And Angels,Dustin Lynch,,2,74,2,2,
2012,(Kissed You) Good Night,Gloriana,,2,119,2,2,
2012,Better Than I Used To Be,Tim McGraw,,2,69,2,2,
2012,Even If It Breaks Your Heart,Eli Young Band,,2,104,2,2,
2012,Lovin' You Is Fun,Easton Corbin,,2,110,3,0,110
2012,Springsteen,Eric Church,,2,103,2,2,
2012,Drunk On You,Luke Bryan,,2,72,2,2,
2013,Cruise,Florida Georgia Line,,2,76,2,2,
2013,Wagon Wheel,Darius Rucker,,2,148,3,0,148
2013,Boys 'Round Here,Blake Shelton,Pistol Annies and Friends,2,85,2,2,
2013,Crash My Party,Luke Bryan,,2,72,2,2,
2013,I Want Crazy,Hunter Hayes,,2,103,2,3,206
2013,Highway Don't Care,Tim McGraw,Taylor Swift,2,79,2,2,
2013,Get Your Shine On,Florida Georgia Line,,2,97,2,2,
2013,Mama's Broken Heart,Miranda Lambert,,2,224,3,0,224
2013,Sure Be Cool If You Did,Blake Shelton,,2,68,2,2,
2013,Runnin' Outta Moonlight,Randy Houser,,2,86,2,2,
2014,This Is How We Roll,Florida Georgia Line,Luke Bryan,2,66,2,2,
2014,Burnin' It Down,Jason Aldean,,2,68,2,2,
2014,Dirt,Florida Georgia Line,,2,61,2,2,
2014,Bottoms Up,Brantley Gilbert,,2,85,2,2,
2014,Play It Again,Luke Bryan,,2,72,2,2,
2014,American Kids,Kenny Chesney,,2,170,3,0,170
2014,Bartender,Lady Antebellum,,2,101,2,2,
2014,Drunk On A Plane,Dierks Bentley,,2,102,2,2,
2014,Leave The Night On,Sam Hunt,,2,86,2,2,
2014,Somethin' Bad,Miranda Lambert,Carrie Underwood,2,88,2,3,88
2015,Take Your Time,Sam Hunt,,2,79,2,2,
2015,Girl Crush,Little Big Town,,2,58,3,2,
2015,House Party,Sam Hunt,,2,104,2,2,
2015,Kick The Dust Up,Luke Bryan,,2,86,2,2,
2015,Crash And Burn,Thomas Rhett,,2,131,2,2,
2015,Sangria,Blake Shelton,,2,116,2,2,
2015,Homegrown,Zac Brown Band,,2,105,2,2,
2015,Buy Me A Boat,Chris Janson,,2,77,2,2,
2015,John Cougar John Deere John 3:16,Keith Urban,,2,85,2,2,
2015,Like A Wrecking Ball,Eric Church,,2,68,2,2,
2016,H.O.L.Y.,Florida Georgia Line,,2,78,2,2,
2016,Die A Happy Man,Thomas Rhett,,2,83,2,2,
2016,Humble And Kind,Tim McGraw,,2,50,3,2,
2016,Somewhere On A Beach,Dierks Bentley,,2,72,2,2,
2016,Head Over Boots,Jon Pardi,,2,110,3,0,110
2016,You Should Be Here,Cole Swindell,,2,68,2,2,
2016,Break Up In A Small Town,Sam Hunt,,2,69,2,2,
2016,My Church,Maren Morris,,2,78,2,3,156
2016,Came Here To Forget,Blake Shelton,,2,65,2,2,
2016,Peter Pan,Kelsea Ballerini,,2,77,2,2,
2017,Body Like A Back Road,Sam Hunt,,2,99,2,2,
2017,In Case You Didn't Know,Brett Young,,2,75,2,2,
2017,Hurricane,Luke Combs,,2,76,2,2,
2017,What Ifs,Kane Brown,Lauren Alaina,2,63,2,2,
2017,Small Town Boy,Dustin Lynch,,2,73,2,2,
2017,Dirt On My Boots,Jon Pardi,,2,90,2,3,180
2017,The Fighter,Keith Urban,Carrie Underwood,2,135,2,2,
2017,Craving You,Thomas Rhett,Maren Morris,2,106,2,2,
2017,You Look Good,Lady Antebellum,,2,77,2,2,
2017,Better Man,Little Big Town,,2,73,2,2,
2018,Meant To Be,Bebe Rexha,Florida Georgia Line,2,78,2,2,
2018,Heaven,Kane Brown,,2,80,2,2,
2018,Tequila,Dan and Shay,,2,86,2,2,
2018,You Make It Easy,Jason Aldean,,2,44,3,3,132
2018,Marry Me,Thomas Rhett,,2,85,2,2,
2018,One Number Away,Luke Combs,,2,72,2,2,
2018,Simple,Florida Georgia Line,,2,202,2,2,
2018,Get Along,Kenny Chesney,,2,93,2,2,
2018,Mercy,Brett Young,,2,72,2,2,
2018,Up Down,Morgan Wallen,Florida Georgia Line,2,65,2,2,
2019,Whiskey Glasses,Morgan Wallen,,2,76,2,2,
2019,Speechless,Dan and Shay,,2,67,2,3,134
2019,God's Country,Blake Shelton,,2,72,2,2,
2019,Beautiful Crazy,Luke Combs,,2,52,3,2,
2019,Beer Never Broke My Heart,Luke Combs,,2,78,2,2,
2019,The Git Up,Blanco Brown,,2,97,2,2,
2019,Rumor,Lee Brice,,2,71,2,2,
2019,Knockin' Boots,Luke Bryan,,2,132,3,0,132
2019,Look What God Gave Her,Thomas Rhett,,2,113,2,2,
2019,Talk You Out Of It,Florida Georgia Line,,2,63,2,2,
2020,I Hope,Gabby Barrett,,2,77,2,3,154
2020,The Bones,Maren Morris,,2,77,2,2,
2020,10000 Hours,Dan and Shay,Justin Bieber,2,91,2,2,
2020,Chasin' You,Morgan Wallen,,2,98,2,2,
2020,Nobody But You,Blake Shelton,Gwen Stefani,2,72,2,2,
2020,One Man Band,Old Dominion,,2,76,2,2,
2020,Got What I Got,Jason Aldean,,2,54,3,2,
2020,Die From A Broken Heart,Maddie and Tae,,2,76,2,2,
2020,I Hope You're Happy Now,Carly Pearce,Lee Brice,2,118,2,2,
2020,One Of Them Girls,Lee Brice,,2,97,2,2,
2021,Forever After All,Luke Combs,,2,76,2,2,
2021,Fancy Like,Walker Hayes,,2,80,2,2,
2021,Better Together,Luke Combs,,2,73,2,2,
2021,Famous Friends,Chris Young,Kane Brown,2,102,2,2,
2021,The Good Ones,Gabby Barrett,,2,90,2,2,
2021,Chasing After You,Ryan Hurd,Maren Morris,2,66,2,2,
2021,Starting Over,Chris Stapleton,,2,177,3,0,177
2021,Lil Bit,Nelly,Florida Georgia Line,2,121,2,2,
2021,Glad You Exist,Dan and Shay,,2,104,2,2,
2021,One Too Many,Keith Urban,P!nk,2,83,2,3,166
2022,Wasted On You,Morgan Wallen,,2,66,3,2,
2022,You Proof,Morgan Wallen,,2,120,2,2,
2022,Til You Can't,Cody Johnson,,2,160,2,2,
2022,The Kind Of Love We Make,Luke Combs,,2,102,2,2,
2022,Something In The Orange,Zach Bryan,,2,60,3,2,
2022,She Had Me At Heads Carolina,Cole Swindell,,2,135,2,2,
2022,Fall In Love,Bailey Zimmerman,,2,68,2,3,136
2022,Buy Dirt,Jordan Davis,Luke Bryan,2,178,2,2,
2022,AA,Walker Hayes,,2,104,2,2,
2022,5 Foot 9,Tyler Hubbard,,2,212,2,2,
2023,Last Night,Morgan Wallen,,2,102,2,2,
2023,Fast Car,Luke Combs,,2,98,2,2,
2023,Rock And A Hard Place,Bailey Zimmerman,,2,40.5,3,3,122
2023,Thinkin' Bout Me,Morgan Wallen,,2,71,2,2,
2023,Thank God,Kane Brown,Katelyn Brown,2,100,2,2,
2023,Need A Favor,Jelly Roll,,2,79,2,2,
2023,Thought You Should Know,Morgan Wallen,,2,70,2,2,
2023,Religiously,Bailey Zimmerman,,2,71,2,2,
2023,One Thing At A Time,Morgan Wallen,,2,142,2,2,
2023,Love You Anyway,Luke Combs,,2,71,2,2,
